"Localized Magento Editions","Локализованные редакции Magento"
"II help to observe the distribution of the Localized Magento Editions and want to benefit from the exclusive offerings of NR App Factory & your partners.","Я хочу помочь контролировать распространение Magento RU и таким образом получать выгоду от эксклюзивных предложений NR App Factory и их партнёров."

"This could be your exclusive offers","Это могут быть ваши эксклюзивные предложения."
"Offers could be for example:","Пример конкретных предложений:"
"Special conditions when purchasing extensions or services from the NAF store nr.apps.com","Специальные условия при покупке модулей и услуг из NAF магазина nr.apps.com"
"Purchase options and special conditions for Magento event tickes, e.g. Meet Magento or Developers Paradise","Параметры покупок и специальных условий на билеты событий Magento, например, Meet Magento или Developers Paradise"
"Purchase options and special conditions for Magento education tickets, e.g. NR Campus","Параметры покупок и специальных условий на билеты на получение образования Magento, например, NR Campus"
"Showing your shop name and a link to your domain on nr-apps.com","Отображение названия вашего магазина и ссылки на ваш домен на сайте nr-apps.com"

"and many more","и многое другое"
"For your personal offers and information about %s, please see the newsfeed of your system.","Для просмотра ориентированных на вас специальных предложениях и информации о %s, пожалуйста, прочитайте ленту новостей в вашей системе."
"I agree to help monitor the distribution of %s and therefore agree on transmitting the information necessary to accomplish this, thereby supporting the project.","Я согласен помочь контролировать распространение %s и, следовательно, согласен передавать необходимую для достижения этой цели информацию, тем самым поддерживая проект."
"Server IP","IP сервера"
"Transfer date","Дата запроса"
"Magento version","Версия Magento"
"Contact information: Store name, company, address, postal code, city, country, telephone, fax, email, website, CEO, owner","Исходящие данные: Название магазина, Компания, Улица, Почтовый индекс, Город, Страна, Телефон, Факс, Email, Сайт, CEO, Владелец"
"For more information about privacy, click <a href=""%s"" target=""_blank"">here</a>.","Дополнительная информация о защите данных доступна <a href=""%s"" target=""_blank"">тут</a>"

"News cannot be displayed at the moment. Please try again later.","В данный момент новости не могут быть отображены. Пожалуйста, повторите попытку позже"
"Store ""%s"" already exists.","Магазин ""%s"" уже существует."

"FireGento German Setup","FireGento German Setup"
"Extension Setup","Настройка модуля"
"Tax Settings","Настройки налогов"
"Checkout Agreements","Bestellbedingungen"

"FireGento PDF","FireGento PDF"

"Autoshipping","Автодоставка"

"Cash On Delivery","Наличные"

"Debit","Дебет"
"Bank Data Setup","Настройка банковских данных"

"Remove Customer Account Links","Удалить ссылки на учётную запись"

"Configuration","Конфигурация"

"Display Copyright Notice in Imprint","Отображать сообщение об авторских правах в исходящих данных"
"<a href=""%s"" target=""_blank"">%s</a> is a project of the Magento community","<a href=""%s"" target=""_blank"">%s</a> это проект сообщенства Magento"
"powered by","при поддержке"

"Phoenix_CashOnDelivery::You will be charged an extra fee of %s.","Наценка %s"

"Country Selection","Выбор страны"
"Please go to Backend now in order to complete the preconfiguration.","Пожалуйста, перейдите в панель управления для завершения установки."
"News","Лента новостей"

"Next Page","Следующая страница"
"Previous Page","Предыдущая страница"
"Setup %s","установка %s"
